"code"	"data"	"source"	"analysis"	"initial_ref"
"BUD15_O"	"seq"	"AF"	NA	TRUE
"20504_E"	"seq"	"AF"	NA	TRUE
"BGQ06_hb"	"seq"	"AF"	NA	TRUE
"Can33_B"	"seq"	"AF"	NA	TRUE
"20803_D"	"seq"	"AF"	NA	TRUE
"29054_C"	"seq"	"AF"	NA	TRUE
"ZK2_5_B"	"seq"	"AF"	NA	TRUE
"MB3_1_O"	"seq"	"AF"	NA	TRUE
"M1413_NA"	"seq"	"AF"	NA	TRUE
"Can34_NA"	"seq"	"AF"	NA	TRUE
"20233_D"	"seq"	"AF"	NA	TRUE
"20516_E"	"seq"	"AF"	NA	TRUE
"BD5_1_O"	"seq"	"AF"	NA	TRUE
"MB5_5_O"	"seq"	"AF"	NA	TRUE
"BGQ07_A"	"seq"	"AF"	NA	TRUE
"Can12_hb"	"seq"	"AF"	NA	TRUE
"20683_C"	"seq"	"AF"	NA	TRUE
"KB2_1_O"	"seq"	"AF"	NA	TRUE
"BP409_E"	"seq"	"AF"	NA	TRUE
"M1400_E"	"seq"	"AF"	NA	TRUE
"BGQ08_C"	"seq"	"AF"	NA	TRUE
"20245_D"	"seq"	"AF"	NA	TRUE
"20726_E"	"seq"	"AF"	NA	TRUE
"IT1_1_O"	"seq"	"AF"	NA	TRUE
"M1361_NA"	"seq"	"AF"	NA	TRUE
"BGQ09_E"	"seq"	"AF"	NA	TRUE
"20121_D"	"seq"	"AF"	NA	TRUE
"ML5_1_O"	"seq"	"AF"	NA	TRUE
"BGQ21_B"	"seq"	"AF"	NA	TRUE
"C031_BGQ23_B"	"seq"	"AF"	NA	TRUE
"Can36_B"	"seq"	"AF"	NA	TRUE
"2931_D"	"seq"	"AF"	NA	TRUE
"20738_E"	"seq"	"AF"	NA	TRUE
"ML3_3_O"	"seq"	"AF"	NA	TRUE
"BGQ02_O"	"seq"	"AF"	NA	TRUE
"BGQ10_D"	"seq"	"AF"	NA	TRUE
"20685_C"	"seq"	"AF"	NA	TRUE
"20656_C"	"seq"	"AF"	NA	TRUE
"KL1_2_O"	"seq"	"AF"	NA	TRUE
"29004_C"	"seq"	"AF"	NA	TRUE
"20852_E"	"seq"	"AF"	NA	TRUE
"20662_E"	"seq"	"AF"	NA	TRUE
"KL5_2_O"	"seq"	"AF"	NA	TRUE
"20135_D"	"seq"	"AF"	NA	TRUE
"20159_D"	"seq"	"AF"	NA	TRUE
"20511_B"	"seq"	"AF"	NA	TRUE
"20650_E"	"seq"	"AF"	NA	TRUE
"20658_C"	"seq"	"AF"	NA	TRUE
"20708_A"	"seq"	"AF"	NA	TRUE
"20723_A"	"seq"	"AF"	NA	TRUE
