Species	Génotype	Other Code	Origin	Genetic Group	code
Canephora	FRT81	FRT81	Nestlé	A	FRT81
Canephora	FRT83	FRT83	Nestlé	A	FRT83
Canephora	BD2-2	-	NARO	O	BD2_2
Canephora	BD3-1	-	NARO	O	BD3_1
Canephora	BD3-2	-	NARO	O	BD3_2
Canephora	BD4-5	-	NARO	O	BD4_5
Canephora	BD5-2	-	NARO	O	BD5_2
Canephora	BD5-4	-	NARO	O	BD5-4
Canephora	IT1-1	-	NARO	O	IT1_1
Canephora	IT2-1	-	NARO	O	IT2_1
Canephora	IT3-1	-	NARO	O	IT3_1
Canephora	IT3-4	-	NARO	O	IT3_4
Canephora	IT4-1	-	NARO	O	IT4_1
Canephora	IT5-1	-	NARO	O	IT5_1
Canephora	KB1-4	-	NARO	O	KB1_4
Canephora	KB1-5	-	NARO	O	KB1_5
Canephora	KB2-4	-	NARO	O	KB2_4
Canephora	KB3-1	-	NARO	O	KB3_1
Canephora	KB4-1	-	NARO	O	KB4_1
Canephora	KB4-4	-	NARO	O	KB4-4
Canephora	MB1-1	NA	NARO	NA	MB1_1
Canephora	MB1-2	NA	NARO	NA	MB1_2
Canephora	MB1-5	NA	NARO	NA	MB1_5
Canephora	MB2-4	NA	NARO	NA	MB2_4
Canephora	MB3-2	NA	NARO	NA	MB3_2
Canephora	MB4-3	NA	NARO	NA	MB4_3
Canephora	ML2-4	-	NARO	O	ML2_4
Canephora	ML3-2	-	NARO	O	ML3_2
Canephora	ML4-1	-	NARO	O	ML4_1
Canephora	ML5-1	-	NARO	O	ML5_1
Canephora	ML6-2	-	NARO	O	ML6_2
Canephora	ML6-3	-	NARO	O	ML6_3
Canephora	ZK2-1	-	NARO	O	ZK2_1
Canephora	ZK2-4	-	NARO	O	ZK2_4
Canephora	ZK3-3	-	NARO	O	ZK3_3
Canephora	ZK4-3	-	NARO	O	ZK4_3
Canephora	ZK4-5	-	NARO	O	ZK4_5
Canephora	ZK5-1	-	NARO	O	ZK5_1
Canephora	BGQ02	163	Meise	B	BGQ02
Canephora	BGQ07	111	Meise	A	BGQ07
Canephora	BGQ2	NA	Meise	B	BGQ2
Canephora	BGQ21	-	Meise	B	BGQ21
Canephora	BGQ23	Ramazan3	Meise	B	BGQ23
Canephora	Can33	-	Meise	O	Can33
Canephora	Can34	-	Meise	Eow	Can34
Canephora	HD-200-094	NA	IRD	NA	HD_200_094
Canephora	BP409	-	ICCRI	ER	BP409
Canephora	K1Y37Y4	-	ICCRI	R	K1Y37Y4
Canephora	K2Y13Y4	-	ICCRI	R	K2Y13Y4
Canephora	K2Y18Y3	-	ICCRI	R	K2Y18Y3
Canephora	K3Y54Y3	-	ICCRI	R	K3Y54Y3
Canephora	K4-17-2	-	ICCRI	R	K4Y17Y2
Canephora	K4Y10Y1	-	ICCRI	R	K4Y10Y1
Canephora	K4Y19Y3	-	ICCRI	R	K4Y19Y3
Canephora	K5-73-4	-	ICCRI	R	K5_73_4
Canephora	K6-38-4	-	ICCRI	R	K6_38_4
Canephora	K9Y34Y3	-	ICCRI	R	K9Y34Y3
Canephora	K9Y34Y3	-	ICCRI	R	K9Y34Y3
Canephora	Q121	-	ICCRI	AD	Q121
Canephora	20685	-	CNRA	C	20685
Canephora	20803	-	CNRA	D	20803
Canephora	D11-9 L2-4	29004	CNRA	C	29004
Canephora	D11-9 L7-4	29054	CNRA	C	29054
Canephora	D12-11 L1-2	2931	CNRA	D	2931
Canephora	D12-11 L14-20	20159	CNRA	D	20159
Canephora	D12-11 L17-20	20121	CNRA	D	20121
Canephora	D12-11 L18-12	20135	CNRA	D	20135
Canephora	D12-11 L19-9	20145	CNRA	D	20145
Canephora	D12-11 L26-9	20233	CNRA	D	20233
Canephora	D12-11 L27-10	20245	CNRA	D	20245
Canephora	D12-14 L1-1	20319	CNRA	E	20319
Canephora	D12-14 L1-10	20323	CNRA	D	20323
Canephora	D12-14 L12-16	20715	CNRA	A	20715
Canephora	D12-14 L12-8	20738	CNRA	E	20738
Canephora	D12-14 L13-12	20723	CNRA	A	20723
Canephora	D12-14 L13-14	20724	CNRA	A	20724
Canephora	D12-14 L13-16	20725	CNRA	E	20725
Canephora	D12-14 L13-18	20726	CNRA	E	20726
Canephora	D12-14 L1-4	20320	CNRA	E	20320
Canephora	D12-14 L1-6	20321	CNRA	E	20321
Canephora	D12-14 L16-2	20693	CNRA	A	20693
